"Facility Name","name (OpenLMIS)","DHIS2_id","OpenLMIS Code","DHAMIS Facility ID"
"Kundwero Village Clinic","Kundwero Village Clinic","cafCzsbcApa","Not existing",""
"Kunenekude Health Centre","Kunenekude Health Centre","tB6qZOxpIwC","MN3802","88"
"Kusawali Village Clinic","Kusawali Village Clinic","v9CSru2EdnL","Not existing",""
"Kuselema Village Clinic","Kuselema Village Clinic","uNZttrXvi1P","Not existing",""
"Kutengule Village Clinic","Kutengule Village Clinic","R6wDVWCgwCF","Not existing",""
"Kwanda Village Clinic","Kwanda Village Clinic","a64JcsLloDa","Not existing",""
"Kwitanda Health Centre","Kwitanda Health Centre","Z8EORvXbL8x","BLK3613","89"
"Lafarge Cement Clinic","Lafarge Cement Clinic","JDVeTXJTAq1","BT5070","786"
"Lake Kazuni Village Clinic","Lake Kazuni Village Clinic","vD9GBlEB137","NU1841",""
"Lakeview Health Centre","Lake View Health Centre","s0oVNR4X97p","NU1841","521"
"Lalika Village Clinic","Lalika Village Clinic","axOC6dT46kJ","Not existing",""
"Lambulira Health Centre","Lambulira Health Centre","fDKWlLdMpdy","ZA2708","894"
"Lemwe Health Centre","Lemwe Health Centre","HRNjqusGvXx","LL4097","899"
"Lengwe Dispensary (MoH)","Lengwe Dispensary (MoH)","nXFq0fzH08I","CK3331","1177"
"Lengwe Illovo (Private)","Lengwe Illovo (Private)","bvTUezQA0ui","CK3345",""
"Lifeline Health Centre","Life Line Salima Health Centre","IxcEPNvhmZx","SA1424","370"
"Lifuwu Health Centre","Lifuwu Health Centre","BFn8OYQ5lyA","SA1407","381"
"Ligejo Village Clinic","Ligejo Village Clinic","jhgYkrmjquO","Not existing",""
"Lighthouse KCH","Lighthouse KCH","kR3EKghUNys","LL4082","91"
"Ligowe Dispensary","Ligowe Health Centre","gA0WGnhCnYt","NE3702","1042"
"Likangala Health Centre","Likangala Health Centre","LBeMMNRQSoU","ZA2709","92"
"Likhala Village Clinic","Likhala Village Clinic","ndRLJ7Tx7Vy","Not existing",""
"Likoloma Village Clinic","Likoloma Village Clinic","je3RmKa7fks","Not existing",""
"Likoma-DHO","Likoma-DHO","F2sNoOfO4u3","Not existing",""
"Likovo Village Clinic","Likovo Village Clinic","xGfXdneMTOn","Not existing",""
"Likulungwa Village Clinic","Likulungwa Village Clinic","SD0frbEChr5","Not existing",""
"Likuni Hospital","Likuni Hospital","JquLSZgkHQ8","LL7001","93"
"Lilongwe Central Hospital","Lilongwe Central Hospital","cFiiWO0mSVO","LL1519","777"
"Lilongwe City Assembly Chinsapo ","Lilongwe City Assembly Chinsapo Clinic","m6bNWBsRDsi","LL1581","813"
"Lilongwe-DHO","Lilongwe DHO Pharmacy","MDkBXGJ5CyR","LL1503",""
"Lilongwe Health Clinic ","Lilongwe Health Clinic","WgW57Jmd2oN","Not existing in OpenLMIS","794"
"Lilongwe Private Clinic ","Lilongwe Private Clinic","oBjbSOYLYR5","Not existing in OpenLMIS","795"
"Limbe Diagnostic Centre","Limbe Diagnostic Centre","VDhjuZZi4GG","BT5071","790"
"Limbe Health Centre","Limbe Health Centre","KVxcc4baK2p","BT2908","95"
"Limbe Leaf Tobacco Clinic Lilongwe ","Limbe Leaf Tobacco Clinic Lilongwe","IEPmsKQJaGW","LL4054","796"
"Limbe Leaf Tobacco ClinicLimbe","Limbe Leaf Tobacco Clinic Limbe","inRBKdag7Vs","BT5054","1135"
"Limbe MASM Clinic","Limbe MASM Clinic","oLKSaQ4gqL5","BT5012",""
"Lingadzi Private Clinic ","Lingadzi Private Clinic","no3kcRH6rEJ","LL4019","1130"
"Lingamasa Village Clinic","Lingamasa Village Clinic","Ysp4Wii6HL3","Not existing",""
"Linyangwa Health Centre","Linyangwa Health Centre","z9yDHU0ZYQd","KU1020","303"
"Lipuluma Village Clinic","Lipuluma Village Clinic","PnoJIh1BU0R","Not existing",""
"Lirangwe Health Centre","Lirangwe Health Centre","ZUMSlT5ZDCE","BT2909","96"
"Listone Village Clinic","Listone Village Clinic","GlX2rDC52b6","Not existing",""
"Lisungwi Health Centre","Lisungwi Rural/ Community Hospital","jBJ1nrUXKIu","NE3703","905"
"Liuzi Health Centre","Liuzi Health Centre","HYxgXNwy8Wn","NB0311","915"
"Liveya Village Clinic","Liveya Village Clinic","XIfIeL8JBCy","Not existing",""
"Livwezi Health Centre","Livwezi Health Centre","p4eKC1ZsXQ4","KU1063","1402"
"Liwaladzi Health Centre","Liwaladzi Health Centre","TwUljmbTv4b","KK1106","1100"
"Liwonde Medical Clinic","Liwonde Medical Clinic","pri4uEfpoMg","MHG2622","98"
"Lizulu Health Centre","Lizulu Health Centre","yZVsJTXGxyZ","NU1816","506"
"Lobi Health Centre","Lobi Health Centre","yEDgnTigUVO","DZ1715","363"
"Lodjwa Health Centre","Lodjwa Health Centre","MrIB1LvLmRs","KU1027","306"
"Luangwa Village Clinic","Luangwa Village Clinic","RWLE1swG2sP","Not existing",""
"Luchichi Village Clinic","Luchichi Village Clinic","smKmwXloG0c","Not existing",""
"Ludzi St Joseph's Mission Hospital","Ludzi St Josephs","L42aUTBuigK","MC1608","921"
"Lufiyira Village Clinic","Lufiyira Village Clinic","rzejoXQPemX","Not existing",""
"Lughali-A Village Clinic","Lughali-A Village Clinic","fnDqSVLveEC","Not existing",""
"Lugola Health Centre","Lugola Health Centre","AcMkv28WWEO","MH2510","924"
"Luhomero Village Clinic","Luhomero Village Clinic","I4hllFcLQGp","Not existing",""
"Lujeri Health Centre","Lujeri Clinic","QmGoFNWfUFa","MJ3233","637"
"Lulanga Health Centre","Lulanga Health Centre","iIwqmezZ9rs","MH2511","927"
"Lulwe Health Centre","Lulwe Health Centre","ftIjkXg1oCr","NJ3403","1252"
"Lumbadzi Health Centre","Lumbadzi Health Centre","UrNi47KXEKp","LL1521","101"
"Mitsidi Health Centre(Lumbira)","Lumbira / Mitsidi Health Centre","xEhYcXNLUVr","BT2991","1195"
"Lundu Health Centre","Lundu Health Centre","j94m3pNGJLw","BT2910","102"
"Lungu Private Clinic","Lungu Private Clinic","nF4bckRFYqv","Not existing","1136"
"Lungwena Health Centre","Lungwena Health Centre","VdDtiG3fZ9A","MH2512","929"
"Lunjika Health Centre","Lunjika Health Centre","ssMcu8y2Kf3","MZS0518","535"
"Lunzu BLM","Lunzu BLM","kcbyRaflph0","BT2934","104"
"Lupaso Village Clinic","Lupaso Village Clinic","e6kXFIMFkWW","Not existing",""
"Lupembe Health Centre","Lupembe Health Centre","haaT3dJc33b","KA0207","397"
"Lura Health Centre","Lura Health Centre","E1n8QFnk7M2","RU0423","1168"
"Lusangazi 2 Village Clinic","Lusangazi 2 Village Clinic","NjE9Sa0wHXq","Not existing",""
"Lusangazi Dispensary","Lusangazi Dispensary","npu0OQlvf8P","Not existing",""
"Lutheran Mobile Clinic","Lutheran Mobile Clinic","NIkvOFVUcr0","LL4055","1405"
"Luvwere Dispensary","Luvwere Health Centre","qY3GH22ifOb","MZN0519","1220"
"Luwalika Health Centre","Luwalika Health Centre","qBxArP5yT1I","MH2513","932"
"Luwani Health Centre","Luwani Health Centre","y3FF95NnZzl","NE3704","934"
"Luwawa Health Centre","Luwawa Health Centre","qRO40W7cmWx","MZS0545","936"
"Luwerezi Health Centre","Luwelezi Health Centre","upbCscjsSDs","MZS0520","590"
"Luwuchi Health Centre","Luwuchi Health Centre","Ie6bXE64qOA","RU0409","938"
"Luzi Health Centre","Luzi Health Centre","p9HxhQYtEuW","MZN0560","556"
"Lwazi Health Centre","Lwazi Health Centre","h7qFHIsVs04","NB0312","1101"
"Lwezga Health Centre","Lwezga Health Centre","eXttdubBDLr","KA0208","940"
"Mbang'ombe 1 Health Centre","M'bang'ombe I Health Centre","AsETHxlmpIL","LL1526","1003"
"M'mambo Heaith Centre","M'mambo Health Centre","PFhr83vxGgZ","ZA2731","1160"
"Mabili Health Centre","Mabiri Health Centre","vv5AP3nMhAz","MZS0521","528"
"Machakwani Village Clinic","Machakwani Village Clinic","aPOCK64FPOS","Not existing",""
"Macheka Village Clinic","Macheka Village Clinic","G0Njximko4A","Not existing",""
"Machinga-DHO","Machinga DHO Pharmacy","o7sh3DOqth2","MHG2605",""
"Machinga District Hospital","Machinga District Hospital","HN3xPrwEli4","MHG2605","107"
"Machinga Health Centre","Machinga Health Centre","cYYZv88xBL6","MHG2606","943"
"Machinjiri Health Centre","Machinjiri Health Centre","LtrODoKSSgr","ZA2733","1156"
"Macholowe Village Clinic","Macholowe Village Clinic","CsoRg5dT0IQ","Not existing",""
"Macro Blantyre ","Macro Blantyre","ZZNgP1RcC8H","BT2956","108"
"Macro Lilongwe ","Macro Lilongwe Clinic Health Centre","dLEhItCFbai","LL4056","106"
"Macro Mzuzu ","Macro Mzuzu","n6SrNst4ONq","MZN0582","110"
"Madede Health Centre","Madede Health Centre","p3frzwQQnXF","MZS0522","538"
"Madimba Village Clinic","Madimba Village Clinic","qxDe2YLL4g4","Not existing",""
"Madina Mobile Clinic","Madina Mobile Clinic","NTDKX0ejDoi","MH2580",""
"Madise1 Village Clinic","Madise1 Village Clinic","Wfsmdgtmeh0","Not existing",""
"Madisi Hospital","Madisi Hospital","g9wv1lKcdzp","DA1311","476"
"Madunda Village Clinic","Madunda Village Clinic","HbaW6sJGdLS","Not existing",""
"Madziabango Health Centre","Madziabango Health Centre","JA9Ekal0Y2p","BT2911","113"
"Maera Health Centre","Maera Health Centre","gSVQoPw8dRz","ZA2744","1259"
"Maere Health Centre","Maere Health Centre","mmyOCoj42DP","ZA2769",""
"Maero Village Clinic","Maero Village Clinic","HrJwBB01LoX","Not existing",""
"Mafco Health Centre","Mafco Health Centre","ael27YuIvji","SA1420","114"
"Mafisi clinic","Mafisi clinic","N2OEuMkn2z4","Not existing","1165"
"Magareta Health Centre","Magaleta Health Centre","NFqFeBSH2Re","NE3705","946"
"Maganga Health Centre","Maganga Health Centre","NPgTh8ar7Rg","SA1408","115"
"Maganga Village Clinic","Maganga Village Clinic","iLPH3rcvtCK","SA1408",""
"Magombo Village Clinic","Magombo Village Clinic","xhx2nEG8sJt","Not existing",""
"Magomero Health Centre","Magomero Health Centre","MfSWVpArbHS","ZA2710","949"
"Magongwe Village Clinic","Magongwe Village Clinic","LUwr1KQENn0","Not existing",""
"Mahowe Village Clinic","Mahowe Village Clinic","uIW9mPcfasI","CP0126",""
"Mahowoke Village Clinic","Mahowoke Village Clinic","magQcli0qKc","Not existing",""
"Maiwa(Masala) Village Clinic","Maiwa(Masala) Village Clinic","NCh7iPgxIeX","Not existing",""
"Majandulo Village Clinic","Majandulo Village Clinic","LZYPmUAQPAV","Not existing",""
"Majawa Village Cinic","Majawa Village Cinic","DruiYdlLCJY","Not existing",""
"Majawa Village Clinic","Majawa Village Clinic","kL26YYNGL1R","Not existing",""
"Hunger (Majete) Health Centre","Majete (epicenter) Health Centre","HHK489bchmI","TBA002","1471"
" Makadam Pvt Clinic","Makadam Pvt Clinic","jpKor9OWp56","Not existing",""
"Makaka Village Clinic","Makaka Village Clinic","y9eub2e8FDW","Not existing",""
"Makala Village Clinic","Makala Village Clinic","MVjHPzOj6nW","Not existing",""
"Makande Village Clinic","Makande Village Clinic","XGQOBL5JT5f","Not existing",""
"Makangere Village Clinic","Makangere Village Clinic","dLODTDW4WYn","Not existing",""
"Makanjira Health Centre","Makanjira Health Centre","ogCJRAEA06f","MH2514","489"
"Makapwa Health Centre","Makapwa Health Centre","a6SFNf7F567","TO3110","645"
"Makata Health Centre","Makata Health Centre","eZfOjVQcd0e","BT2912","116"
"Makeye Village Clinic","Makeye Village Clinic","QhTiACOv5tV","Not existing",""
"Makhaliha Village Clinic","Makhaliha Village Clinic","mpBLZF2StCb","Not existing",""
"Makhanga Health Centre","Makhanga Health Centre","TRDY52stPkd","NJ3423","770"
"Makhetha Dispensary","Makhetha Clinic Health Centre","tCNxro4FiTA","BT5072","1218"
"Makhote Village Clinic","Makhote Village Clinic","ubvpwsHfXVj","Not existing",""
"Makhula Village Clinic","Makhula Village Clinic","IMtasSW8YmA","Not existing",""
"Makhwira Health Centre","Makhwira Health Centre","fmm167XcK2T","CK3310","117"
"Makiyoni Health Centre","Makioni Health Centre","H37Fo6H2Roi","SA1409","380"
"Makuluni Village Clinic","Makuluni Village Clinic","gIHM5ZjACf8","Not existing",""
"Makunula Village Clinic","Makunula Village Clinic","kpyyAsHSZu0","Not existing",""
"Makwangwala Village Clinic","Makwangwala Village Clinic","EADHhrxjfEn","Not existing",""
"Makwapala Health Centre","Makwapala Health Centre","ctDR10R37Rw","ZA2711","945"
"Makwasa Estate Clinic","Makwasa Estate Clinic","joh9QZI3a96","TO3150","1213"
"Makwete Village Clinic","Makwete Village Clinic","a31qISs5ie9","Not existing",""
"Malabada Health Centre","Malabada Health Centre","SsBkD3XDOD7","BT2960","1192"
"Malambo Health Centre","Malambo Health Centre","kcEdNoW9QOb","NS1214","1389"
"Malamulo Day Clinic","Malamulo Day Clinic","MFvBkN5jzRF","BT5017","1270"
"Malamulo Hospital","Malamulo Hospital","UKeSrLQeuCm","TO3111","120"
"Marabvi Health Centre","Malavi Dispensary","GDO5TltYc4b","CZ2815","634"
"Malawi Army Marine Camp Hospital ","Malawi Army Marine Camp Hospital","Q7j0Yk4fDmo","MH2569","1207"
"Malaya Village Clinic","Malaya Village Clinic","m7Z0DKcI6Or","Not existing",""
"Maldeco Fisheries Clinic","Maldeco Fisheries Clinic","fCSQlctoCLr","MH2545","1137"
"Malekano Village Clinic","Malekano Village Clinic","iv5MkX2NjPE","Not existing",""
"Malembo Health Centre","Malembo Health Centre","UKbySUaELNM","LL1583","1094"
"Malembo Health Centre (Lilongwe)","Malembo Health Centre (Lilongwe)","tOaGG2xPLDm","LL1583","717"
"Malemia Village Clinic","Malemia Village Clinic","Jo9SBwLKJaG","Not existing",""
"Malenga Village Clinic","Malenga Village Clinic","dUAUFjJONWF","Not existing",""
"Malidadi Health Centre","Malidade Health Centre","BvmZAEbFgHw","MZN0523","959"
"Malinga Village Clinic","Malinga Village Clinic","iBFG31DMfIt","Not existing",""
"Malingunde Health Centre","Malingunde Health Centre","lP4THWArWA7","LL1522","773"
"Malivenji Village Clinic","Malivenji Village Clinic","pSp750uFnqa","Not existing",""
"Malmed Private Clinic","Malmed Private Clinic","obDGwQJFj5d","BT2985","1142"
"Malombe Dispensary","Malombe Dispensary","n9kEwAvGSIu","MH2546","488"
"Malomo Health Centre","Malomo Health Centre","mxfexio2lQ4","NS1206","123"
"Malopa Village Clinic","Malopa Village Clinic","VlgjW4zBqH0","Not existing",""
"Malopa Village Clinic","Malopa Village Clinic","JKM2UnjrY6A","Not existing",""
"Malowa Health Centre","Malowa Health Centre","rKEqKuoGeKQ","KK1116","1172"
"Maloya DAPP Village Clinic","Maloya DAPP Village Clinic","w7lqoDMA2hl","Not existing",""
"Malukula Health Centre","Malukula Health Centre","dOgr5wPfLaq","MH2547","1243"
"Malukwa Village Clinic","Malukwa Village Clinic","V9ynGTiolx3","Not existing",""
"Malundani Village Clinic","Malundani Village Clinic","zz8FkNjixer","Not existing",""
"Maluwa Health Centre","Maluwa Health Centre","LL3TLeE40xi","LL1523","978"
"Mama Khadija Private ClinicNamwera ","Mama Khadija Private Clinic Namwera","xdPgIAQLQ6L","MH2564","1229"
"Mamela Village Clinic","Mamela Village Clinic","UNjqk8NrxGU","Not existing",""
"Mandrade Village Clinic","Mandrade Village Clinic","bKNrJ1VOR6Q","Not existing",""
"Mandula Village Clinic","Mandula Village Clinic","bCA1qiJt5bK","Not existing",""
"Mangamba Health Centre","Mangamba Health Centre","zt2Jzw6wUcc","MHG2620","457"
"Mangochi-DHO","Mangochi DHO Pharmacy","RBK39eC5LuY","MH2549",""
"Mangochi District Hospital","Mangochi District Hospital","vGbcjNT1TSJ","MH2549","125"
"Mangombera Village Clinic","Mangombera Village Clinic","fgUKURtKDWo","Not existing",""
"Mangulenje Health Centre","Mangulenje Health Centre","GPslmIQyIyJ","CK3361","1176"
"Mangunda Health Centre","Mangunda Health Centre","jkGTBAmFE1b","TO3140","1037"
"Maning'a Village Clinic","Maning'a Village Clinic","aQbcloF1XZI","Not existing",""
"Manja Village Clinic","Manja Village Clinic","VIrmI1SNNdR","Not existing",""
"Manjawira Health Centre","Manjawira Health Centre","FPDJqyOOb4I","NU1817","1038"
"Manjawira Village Clinic","Manjawira Village Clinic","jXaKvD21sK9","NU1817",""
"Manjolo Village Clinic","Manjolo Village Clinic","IHgq4w3EgWO","Not existing",""
"Manolo Health Center","Manolo Health Centre","YpAyWUsXP6l","MZN029","1419"
"Manolo Village Clinic","Manolo Village Clinic","ebmwJqS3eJc","MZN029",""
"Manyamba Village Clinic","Manyamba Village Clinic","guUmhHhX30a","Not existing",""
"Manyamula Health Centre","Manyamula Health Centre","nDmSqHjGoHc","MZS0524","980"
"Maonde Health Centre","Maonde Health Centre","YK6aK071R8v","DZ1716","981"
"Mapalo Village Clinic","Mapalo Village Clinic","ZvMmBeVW7Pc","Not existing",""
"Mapanga Health Center","Mapanga Clinic","XrE6S137IUq","TO3130","1040"
"Mapata Village Clinic","Mapata Village Clinic","QZ5oeyehUpb","Not existing",""
"Mapeleka Village Clinic","Mapeleka Village Clinic","Mf49uQCAMgw","Not existing",""
"Maperera Health Centre","Mapelera Health Centre","NlBOlQkhfk5","CK3311","126"
"Mapeto DWS Clinic","Mapeto DWS Clinic","ACgUJlruIQT","Not existing",""
"Mapwa Village Clinic","Mapwa Village Clinic","CPU8l2RygQH","Not existing",""
"Maravi Health Centre","Maravi Health Centre","Ljx0uViQtRg","CZ2815",""
"Mars Clinic ","Mars Clinic","z5QhXToeTgs","Not existing","799"
"Masambuka Village Clinic","Masambuka Village Clinic","pwnMwTD5mdk","Not existing",""
"Masasa Health Centre","Masasa Dispensary","oAX2IuKUC7A","NU1840","507"
"Mase Health Centre","Mase Health Centre","c8uCPvKeeEM","MH2518","984"
"Masenjere Health Centre","Masenjere Health Centre","hj7sZWYuxTM","NJ3405","988"
"Masepula Village Clinic","Masepula Village Clinic","qIi7bAQbSQH","Not existing",""
"Masinde Village Clinic","Masinde Village Clinic","gvOwthLaIiE","Not existing",""
"Masito Village Clinic","Masito Village Clinic","sIxYRE4IVmV","Not existing",""
"Masm Area 43 ","Masm Area 43","tqyiGsEE1FJ","LL4026","1264"
"Masm Medi Clinic","Masm Medi Clinic","LLrZXqItgML","",""
"Masm Medi Clinic Katoto ","Masm Medi Clinic Katoto","CwXx44tbXVF","MZN0578","1140"
"Masm Medi Clinic Lilongwe ","Masm Medi Clinic Lilongwe","g9sKqV981QU","LL4025","798"
"Masm Medi ClinicLimbe ","Masm Medi ClinicLimbe","GQGxBnLrP91","BT5012","778"
"Maso Afwire Village Clinic","Maso Afwire Village Clinic","uNeCp59hA7A","Not existing",""
"Matanda Health Centre","Matanda Health Centre","iVOnl6X10Ym","NU1818","990"
"Matandani Health Centre","Matandani Health Centre (CHAM)","JKAFWLrwdji","NE3706","127"
"Matapila Health Centre","Matapila Health Centre","nyBn1aFSTnl","LL1524","685"
"Matawale Urban Health Centre","Matawale Health Centre","yREVcFcXe3h","ZA2724","128"
"Matchumi Village Clinic","Matchumi Village Clinic","ynL4TzlTgQO","Not existing",""
"Matembwera Village Clinic","Matembwera Village Clinic","cXhKNXcL0jS","Not existing",""
"Matenje Village Clinic","Matenje Village Clinic","ZwEk1WPSmEP","Not existing",""
"Matiki Health Centre","Matiki Clinic","bfDs0dTM81U","KK1118","336"
"Matimati Village Clinic","Matimati Village Clinic","L13iUx6Kllq","Not existing",""
"Matinkhula Village Clinic","Matinkhula Village Clinic","HKFUejYFRLx","Not existing",""
"Matiya Health Centre","Matiya Health Centre","omQ3TWOHcDR","ZA2712","601"
"Matope Health Centre","Matope Health Centre (CHAM)","GjNQ12Y2l0F","NE3707","993"
"Matope Village Clinic","Matope Village Clinic","vpbiIZGoXB9","NE3707",""
"Matowe Village Clinic","Matowe Village Clinic","WPgaLdO7vj5","Not existing",""
"Matuli Health Centre","Matuli Health Centre","WIiA3ENQI5A","MZN0573","1281"
"Matumba Health Centre","Matumba Health Centre","I5QjWlvvwsI","DZ1717","995"
"Matuwisa Village Clinic","Matuwisa Village Clinic","qCThowJNcuT","Not existing",""
"Matwika Village Clinic","Matwika Village Clinic","f4CfWYLFE8B","Not existing",""
"Maula Health Centre","Maula Health Centre","W423FAKdyEK","NB0324","554"
"Maula Prison Health Centre Static Art","Maula Prison Static Art Health Centre","sPwxCzvUtia","LL4085","1151"
"Maulana Village Clinic","Maulana Village Clinic","ojvsNVIIJZ4","Not existing",""
"Mauwa Health Centre","Mauwa Health Centre","F6BWHBSv59O","CZ2813","631"
"Mauwa Maternity","Mauwa Maternity","BU12lO6ynbT","CZ2813",""
"Mauwa Village Clinic","Mauwa Village Clinic","P2fJypyEV2Y","CZ2813",""
"Mawende Village Clinic","Mawende Village Clinic","EgAuzmZlwgw","Not existing",""
"Mawimba Village Clinic","Mawimba Village Clinic","aV1qXQrNtXM","Not existing",""
"Mayaka Health Centre","Mayaka Health Centre","JQgSk2DFvqZ","ZA2713","131"
"Mayani Health Centre","Mayani Health Centre","U3ExHCyHDEZ","DZ1718","351"
"Mayoka Village Clinic","Mayoka Village Clinic","geiepcnJOii","Not existing",""
"Mayula Village Clinic","Mayula Village Clinic","v2jnj5VsEkk","Not existing",""
"Mazabuka Medical Centre ","Mazabuka Medical Centre","DbMbDgGQzLw","Not existing",""
"Maziko Private Clinic ","Maziko Private Clinic","zR84MQKJlj4","LL4086","1274"
"Mbabvi Health Centre","Mbabvi Health Centre","rwyqKbu6sVj","LL1525","997"
"Mbalachanda Health Centre","Mbalachanda Health Centre","aLanDLYSxOP","MZS0525","999"
"Mbalanguzi Dispensary","Mbalanguzi Dispensary","gRtggG07luV","TO3157","1392"
"Mbalika Village Clinic","Mbalika Village Clinic","zKcuiFkZ2xw","Not existing",""
"Mbalwe Village Clinic","Mbalwe Village Clinic","kvTG5PQmNQq","Not existing",""
"Mbamba Village Clinic","Mbamba Village Clinic","R1sTgilG2ru","Not existing",""
"Mbang'ombe 2 Health Centre","Mbang'ombe 2 Health Centre","rX8JkNx4U0A","LL1527","676"
"Mbayani Health Center","Mbayani Health Center","ojywW0LnOe6","BT031","1343"
"Mbendera Village Clinic","Mbendera Village Clinic","GmsQce6LJI2","Not existing",""
"Mbenje Health Centre","Mbenje Health Centre","GMxiZxppgwD","NJ3406","765"
"Mbera Health Centre","Mbera Health Centre","vHwtNk0Bvmi","BLK3605","654"
"Mbewa Village Clinic","Mbewa Village Clinic","HDonYFcHvZp","Not existing",""
"Mbeya Village Clinic","Mbeya Village Clinic","lETGdsGPVp4","Not existing",""
"Mbindula Village Clinic","Mbindula Village Clinic","dS2Fuky9f25","Not existing",""
"Mbingwa Health Centre","Mbingwa Health Centre","rpW9v5wCsE6","DA1312","134"
"Mbiza Health Centre","Mbiza Health Centre","dmGyp0vetoz","MJ3207","135"
"Mbonechera Health Centre","Mbonechela Dispensary","iTzui2UcI8o","MHG2607","1321"
"Mbongondo Village Clinic","Mbongondo Village Clinic","E7lsUOVu2mK","Not existing",""
"Mbula Village Clinic","Mbula Village Clinic","USklDH2OPJC","Not existing",""
"Mbulumbudzi Maternity","Mbulumbudzi Maternity","ERVjuHPNT3l","Not existing",""
"Mbulumbudzi Health Centre","Mbulumbuzi Health Centre","SrQ8y7MhCE6","CZ2814","136"
"Mbuna Village Clinic","Mbuna Village Clinic","zPDPfAFB9wi","Not existing",""
"Mbunda Village Clinic","Mbunda Village Clinic","kdsZCIKj2Tr","Not existing",""
"Mbunumbu Village Clinic","Mbunumbu Village Clinic","etD7ufeXtjt","Not existing",""
"Mbwatalika Health Centre","Mbwatalika Health Centre","KRmwm560Ldo","LL1528","1004"
"Mbweso Village Clinic","Mbweso Village Clinic","MCyt0kZZoZp","Not existing",""
"Mbyelima Village Clinic","Mbyelima Village Clinic","Kby9J6G9PBl","Not existing",""
"Mc Quire Wellness Health Centre","Mc Quire Wellness Health Centre","cPOF4KdmFAR","Not existing","1412"
"Mchacha Dispensary","Mchacha Dispensary","dttzdNvXHa5","Not existing",""
"Mchima Clinic","Mchima Clinic","HC3bsEmqOGP","TO3151","642"
"Mchinji-DHO","Mchinji DHO Pharmacy","UeDRejssxJd","MC1609",""
"Mchinji District Hospital","Mchinji District Hospital","dFFBYFnomxH","MC1609","137"
"Mchocholo Village Clinic","Mchocholo Village Clinic","WmzHsI8NWKW","Not existing",""
"Mchoka Health Centre","Mchoka Health Centre","c6WcEY1TXnq","SA1410","138"
"Mdeka Health Centre","Mdeka Health Centre","fQCAaNl0UMA","BT2913","139"
"Mdeza Dispensary","Mdeza Health Centre","jJwUNjSxgTS","DZ1749","1393"
"MDF Secondary School Clinic","MDF Secondary School Clinic","ECwzZkt3Rop","Not existing",""
"Mdoka Village Clinic","Mdoka Village Clinic","HfMz0FhHqPK","Not existing",""
"Mdunga Heallth Centre","Mdunga Health Centre","H3xKaK0d3or","KU1028","319"
"Melele Village Clinic","Melele Village Clinic","O8uDi0zSLC9","Not existing",""
"Mesiya Village Clinic","Mesiya Village Clinic","k9EjtcgRs3Q","Not existing",""
"Mfera Health Centre","Mfera Health Centre","gMuqGSS8knm","CK3320","140"
"Mgabe Village Clinic","Mgabe Village Clinic","KsY8t7UTkVq","Not existing",""
"Mganja Maternity","Mganja Health Centre","qb1Mj9bHSca","DZ1725","356"
"Mgwira Village Clinic","Mgwira Village Clinic","NwXrbcehlci","Not existing",""
"Mhalaunda Health Centre","Mhalaunda Health Centre","inDCxEh9onL","MZS0546","529"
"Mhuju Rural Hospital","Mhuju Rural/ Community Hospital","QrpvZldV7rA","RU0411","452"
"Mianga estate clinic","Mianga estate clinic","oXXbb8WAC4h","TO3141","1153"
"Michenga Village Clinic","Michenga Village Clinic","C2olhDycqu6","Not existing",""
"Michongwe Village Clinic","Michongwe Village Clinic","YiHkStkoOdP","Not existing",""
"Midzemba Dispensary","Midzemba Health Centre","zq5yo5iRvsL","NE3719","1384"
"Migowi Health Centre","Migowi Health Centre","PHIvzmuxq0q","PE3506","142"
"Mikolongwe Health Centre","Mikolongwe Health Centre","ZEhFEU99s7M","TO3114","144"
"Mikondo Dispensary","Mikondo Health Centre","fQgxgDx2iHA","DZ1719","1006"
"Mikundi Health Centre","Mikundi Health Centre","rAdbHKHrveg","MC1610","1009"
"Mikuyu Adult Clinic","Mikuyu Adult Clinic","yuC98hzOJTH","ZA2770","1410"
"Mikuyu Young Clinic","Mikuyu Young Clinic","TCQVqqZMDUA","ZA2771",""
"Milaza Village Clinic","Milaza Village Clinic","NPYjPg6UHyV","Not existing",""
"Milepa Health Centre","Milepa Health Centre","MH3qGNRGA9d","CZ2804","145"
"Milima Village Clinic","Milima Village Clinic","dp4yoYbgnfM","Not existing",""
"Milonde Health Centre","Milonde Health Centre","C3eAtbe8AQW","MJ3208","1011"
"Mimosa Dispensary","Mimosa Dispensary","YOhdb5QWf3k","MJ3209","1012"
"Ming'Ongo Health Centre","Ming'ong'o Health Centre","MCQRoU5bKZ7","LL1529","1013"
"Mingwa Village Clinic","Mingwa Village Clinic","bmsP6codC00","Not existing",""
"Misamvu Dispensary","Misamvu Dispensary","YDYPFwMDHNj","Not existing",""
"Misewe Village Clinic","Misewe Village Clinic","SZ98Q8We0pX","Not existing",""
"Misikizi Village Clinic","Misikizi Village Clinic","IjOVDtPQiOU","Not existing",""
"Misolo Village Clinic","Misolo Village Clinic","WqCECpYBiFq","Not existing",""
"Misomali Health Centre","Misomali Health Centre","WPueOTAiLN1","CK3312","581"
"Misomali Village Clinic","Misomali Village Clinic","HGaFjgADAnL","CK3312",""
"Misuku Health Centre","Misuku Health Centre","XnBB0NztocS","CP0108","441"
